Qty;Supplier;Product #;Description
1;`Sensapex <https://www.sensapex.com/>`_;`uMp-TSC2 <https://sensapex.com/shop/product/ump-tsc2/>`_;Touch screen control unit
1;`Sensapex <https://www.sensapex.com/>`_;`uMp-HUB lite <https://sensapex.com/shop/product/ump-hub-lite/>`_;HUB to connect 4 manipulators to uMp-TSC2
1;`Sensapex <https://www.sensapex.com/>`_;`uMp-RW4 <https://sensapex.com/shop/product/ump-rw4/>`_;Rotary wheel unit with 4 wheels
2;`Sensapex <https://www.sensapex.com/>`_;`uMp-4 <https://sensapex.com/shop/product/ump-4/>`_;4-axis manipulator, incl. uMp-MBS
2;`Sensapex <https://www.sensapex.com/>`_;`uMp-FLP <https://sensapex.com/shop/product/ump-flp/>`_;Back-flip stand
2;`Sensapex <https://www.sensapex.com/>`_;`uMp-RHL <https://sensapex.com/shop/product/ump-rhl/>`_;Adapter for holding 4-10 mm OD rods
2;`Sensapex <https://www.sensapex.com/>`_;`uMp-NPR-200S <https://sensapex.com/shop/product/ump-npr-200s-2/>`_;Spin adjustable 6 mm rod for uMp-NPH-2s
2;`Sensapex <https://www.sensapex.com/>`_;`uMp-NPH-2S <https://sensapex.com/shop/product/ump-nph-2s/>`_;Adapter head for Neuropixel V2.0 probes with head-stage holder
1;`Rion <https://www.rion-tech.net/>`_;DMI410;Digital Inclinometer
