Qty;Supplier;Product #;Description
1;`Nresearch <https://www.nresearch.com>`_;225P011-21;Pinch valve, 1 tube, normally closed, 12 VDC, Tube #11
1;`Microgroup <https://www.microgroup.com>`_;316H15RW;Stainless Steel Hypodermic Tubing, 1 FT
1;`RS Components <https://us.rs-online.com/>`_;`70825773 <https://us.rs-online.com/catalogsearch/result/?q=70825773>`_;RS PRO 357794 Magnet Wire BC 16AWG
1;`Ultra <https://ultra-germany.shop/en>`_;`1400541 <https://ultra-germany.shop/en/search?search=1400541>`_;Articulated arms Strato Line XS-13 black with mechanical centre lock 130mm/M6/M6
1;`BD <https://www.bd.com/>`_;309653;50 ml Luer-Lok Syringe
1;`Cole Parmer <https://www.coleparmer.com/>`_;`WZ-95702-00 <https://www.coleparmer.com/search?searchterm=WZ-95702-00>`_;"Tygon SPT-3350 Platinum-Cured Silicone Tubing, 1/32"" ID x 3/32"" OD; 50 Ft"
1;`Cole Parmer <https://www.coleparmer.com/>`_;`EW-45502-00 <https://www.coleparmer.com/search?searchterm=EW-45502-00>`_;"Value Plastics Luer to Hose Barb Fitting, Straight Adapter, White Nylon, Female Luer Thread x 200 Series Barb 1/16"" ID; 25/Pk"
1;`Cole Parmer <https://www.coleparmer.com/>`_;`EW-11015-43 <https://www.coleparmer.com/search?searchterm=EW-11015-43>`_;Ohaus 30268984 USB Kit
1;`Cole Parmer <https://www.coleparmer.com/>`_;`EW-11015-29 <https://www.coleparmer.com/search?searchterm=EW-11015-29>`_;Ohaus SPX222 Scout Portable Balance 220 g x 0.01 g
