Qty;Supplier;Product #;Description
1;`Orion <https://www.rackcabinets.co.uk/>`_;`Acoustic Wall Cabinet <https://www.rackcabinets.co.uk/products/acoustic-wall-cabinet>`_;Height: 9U, Width: 600 mm, Depth: 600 mm
1;`Shapeways <https://www.shapeways.com/>`_;OBH1;Door handle – optional
1;`Digikey <https://www.digikey.com>`_;`259-1390-ND <https://www.digikey.com/en/products/result?keywords=259-1390-ND>`_;Sunon SP103A Fan, 110V, fitting enclosure – optional
2;`80/20 <https://8020.net/>`_;`20-2020 <https://8020.net/20-2020.html>`_;20 mm x 20 mm T-Slotted Profile, Length: 51 cm, M5 thread
2;`80/20 <https://8020.net/>`_;`20-2040 <https://8020.net/20-2040.html>`_;20 mm x 40 mm T-Slotted Profile, Length: 51 cm, M5 thread
