Qty;Supplier;Product #;Description
1;`Adafruit <https://adafruit.com>`_;`1698 <https://www.adafruit.com/product/1698>`_;Mini DisplayPort to DisplayPort Cable [3]_
1;`Adafruit <https://adafruit.com>`_;`1716 <https://www.adafruit.com/product/1716>`_;Qualia Bare Driver Board for LP097QX1 Display [3]_
1;`Adafruit <https://adafruit.com>`_;`1751 <https://www.adafruit.com/product/1751>`_;LG LP097QX1 - iPad 3/4 Retina Display [3]_
1;`Digikey <https://www.digikey.com>`_;`1470-3156-ND <https://www.digikey.com/en/products/result?keywords=1470-3156-ND>`_;Power Supply: 9 V DC, 2 A, 18 W [4]_
1;Rosco;730011;Polarising Filter Lighting Gel, 43cm x 51cm
1;`RS Components <https://us.rs-online.com/>`_;`123-2223 <https://us.rs-online.com/catalogsearch/result/?q=123-2223>`_;RS PRO ILM01 Light Meter
1;Wuxi Bohai Optics;BHPA220-2-5;Fresnel Lens. Size: 200 x 160 mm, thickness: 2mm, material: PMMA, groove pitch: 0.5mm, focal length: 220mm
